,Species,FamilyID,Family,Observer,Site,BroodSize,BroodAge,Date,Julian,StartTime,AmbientTemp,M,F,ASR,MT,FT,MB,FB,MD,FD
1,WfP,1,-900,Georgie,H,2,9,10/05/2019,19130,1540,27.6,0,31.7,0.470238095,0,32,0,30,0,2
2,WfP,2,-201,Georgie,D,2,23,26/04/2019,19116,944,27.4,0,0,0.323809524,0,0,0,0,0,0
3,WfP,3,-204,Georgie,H,2,25,08/05/2019,19128,1615,28,21.7,0.8,0.470238095,22,1,22,0,0,1
4,WfP,4,313,Georgie,G,2,8,03/05/2019,19123,845,27.5,2.5,0,0.470238095,3,0,0,0,3,0
5,WfP,5,-402,Georgie,D,1,18,20/04/2019,19110,1711,28,0,0,0.323809524,0,0,0,0,0,0
6,WfP,6,403,Georgie,B,2,5,20/04/2019,19110,827,25.9,0,0,0.323809524,0,0,0,0,0,0
7,WfP,7,902,Georgie,H,2,1,15/05/2019,19135,1554,27.2,22.5,24.2,0.583333333,23,24,20,24,3,0
8,WfP,8,309,Nemena,F,3,20,15/05/2019,19135,715,18.1,0,0,0.583333333,0,0,0,0,0,0
9,WfP,9,310,Nemena,F,2,2,26/04/2019,19116,1118,30.1,6.7,3.3,0.323809524,7,3,0,0,7,3
10,WfP,10,-301,Nemena,F,1,14,29/04/2019,19119,1010,29.2,0,0,0.470238095,0,0,0,0,0,0
11,WfP,11,-801,Georgie,H,2,2,07/06/2019,19158,1605,24.9,0,95.8,0.616666667,0,96,0,96,0,0
12,WfP,12,316,Georgie,H,1,2,14/06/2019,19165,905,24.9,4.2,85.8,0.616666667,4,86,0,86,4,0
13,MP,13,224,Georgie,H,2,1,15/05/2019,19135,914,23.8,3.3,3.3,0.513333333,3,3,0,0,3,3
14,MP,14,317,Georgie,G,1,1,17/04/2019,19107,750,26.5,1.7,0.8,0.413333333,2,2,0,0,2,2
15,MP,15,319,Georgie,G,1,10,02/05/2019,19122,1632,28.2,22.5,0.8,0.5625,23,2,22,0,1,2
16,MP,16,429,Georgie,E,2,4,20/05/2019,19140,858,25.3,24.2,0,0.513333333,24,0,24,0,0,0
17,MP,17,423,Nemena,D,2,2,17/04/2019,19107,1008,27.6,0,0.8,0.413333333,0,2,0,0,0,2
18,MP,18,101,Nemena,E,2,17,12/03/2019,19071,1030,33.9,0,0,0.413333333,0,0,0,0,0,0
19,KP,19,-419,Georgie,H,2,9,15/05/2019,19135,758,21.5,6.6,0,0.6,7,0,6,0,1,0
20,KP,20,-900,Georgie,D,1,10,17/05/2019,19137,1535,27.5,1.7,0,0.6,2,0,0,0,2,0
21,KP,21,-901,Georgie,D,1,9,30/04/2019,19120,1635,26.3,0,3.3,0.583333333,0,3,0,0,0,3
22,KP,22,415,Nemena,C,1,5,15/04/2019,19105,1020,28.1,0,0,0.666666667,0,0,0,0,0,0
23,KP,23,508,Georgie,E,2,8,31/05/2019,19151,935,24.2,9.2,0,0.476190476,9,0,9,0,0,0
24,KP,24,-734,Georgie,H,2,19,03/06/2019,19154,855,25.7,15.8,0,0.476190476,16,0,16,0,0,0
25,WfP,1,-900,Georgie,H,2,12,13/05/2019,19133,840,24.7,0,10,0.583333333,0,10,0,10,0,0
26,WfP,2,-201,Georgie,D,2,24,27/04/2019,19117,703,24.3,0,22.5,0.323809524,0,23,0,23,0,0
27,WfP,3,-204,Georgie,H,2,26,09/05/2019,19129,1543,28.7,10.9,5,0.470238095,11,5,7,0,4,5
28,WfP,4,313,Georgie,G,2,9,04/05/2019,19124,900,29,0,5,0.470238095,0,5,0,0,0,5
29,WfP,5,-402,Georgie,D,1,24,26/04/2019,19116,803,25.7,0,1.7,0.323809524,0,2,0,0,0,2
30,WfP,6,403,Georgie,B,2,8,23/04/2019,19113,1104,28.9,7.5,2.5,0.323809524,8,3,0,0,8,3
31,WfP,7,902,Georgie,H,2,2,16/05/2019,19136,1445,27.8,0,2.5,0.583333333,0,3,0,0,0,3
32,WfP,8,309,Nemena,F,3,21,16/05/2019,19136,1514,27.8,0,5,0.583333333,0,5,0,5,0,0
33,WfP,9,310,Nemena,F,2,3,27/04/2019,19117,813,26.5,3.3,2.5,0.323809524,3,3,0,0,3,3
34,WfP,11,-801,Georgie,H,2,5,10/06/2019,19161,1617,30.2,0,52.5,0.616666667,0,53,0,50,0,3
35,WfP,12,316,Georgie,H,1,3,15/06/2019,19166,950,26,3.3,0.8,0.616666667,3,1,0,0,3,1
36,MP,13,224,Georgie,H,2,2,16/05/2019,19136,655,18.5,15.8,31.7,0.513333333,16,32,16,32,0,0
37,MP,14,317,Georgie,G,1,2,18/04/2019,19108,1525,27.1,0,5,0.413333333,0,5,0,0,0,5
38,MP,15,319,Georgie,G,1,11,03/05/2019,19123,845,27.5,6.6,1.7,0.5625,7,2,0,0,7,2
39,MP,16,429,Georgie,E,2,5,21/05/2019,19141,1058,27.9,9.2,2.5,0.513333333,9,3,0,0,9,3
40,MP,17,423,Nemena,D,2,3,18/04/2019,19108,837,26.5,0,5.8,0.413333333,0,6,0,0,0,6
41,MP,18,101,Nemena,E,2,18,13/03/2019,19072,1505,31.6,0,5,0.413333333,0,5,0,3,0,2
42,KP,19,-419,Georgie,H,2,21,16/05/2019,19136,948,27.6,0,0,0.6,0,0,0,0,0,0
43,KP,20,-900,Georgie,D,1,15,22/05/2019,19142,1535,26.2,6.7,0,0.6,7,0,7,0,0,0
44,KP,21,-901,Georgie,D,1,10,01/05/2019,19121,1535,28.6,0,3.3,0.583333333,0,3,0,0,0,3
45,KP,23,508,Georgie,E,2,9,01/05/2019,19121,836,21.7,0,0,0.583333333,0,0,0,0,0,0
46,KP,24,-734,Georgie,H,2,21,05/06/2019,19156,728,17.1,0,0,0.476190476,0,0,0,0,0,0
47,WfP,1,-900,Georgie,H,2,13,14/05/2019,19134,1540,27.3,0,0,0.583333333,0,0,0,0,0,0
48,WfP,2,-201,Georgie,D,2,26,29/04/2019,19119,833,26,1.7,0.8,0.470238095,2,1,0,0,2,1
49,WfP,3,-204,Georgie,H,2,27,10/05/2019,19130,1543,27.3,71.7,0,0.470238095,72,0,72,0,0,0
50,WfP,4,313,Georgie,G,2,10,06/05/2019,19126,1410,29.1,1.7,0,0.470238095,2,0,0,0,2,0
51,WfP,5,-402,Georgie,D,1,25,27/04/2019,19117,829,26.5,0,1.7,0.323809524,0,2,0,0,0,2
52,WfP,6,403,Georgie,B,2,15,30/04/2019,19120,925,27.4,4.2,0,0.470238095,4,4,4,0,0,4
53,WfP,7,902,Georgie,H,2,3,17/05/2019,19137,745,20.3,0,39.2,0.583333333,0,39,0,39,0,0
54,WfP,8,309,Nemena,F,3,22,17/05/2019,19137,1002,27.6,0,0,0.583333333,0,0,0,0,0,0
55,WfP,9,310,Nemena,F,2,21,15/05/2019,19135,939,25.4,1.7,3.3,0.583333333,2,3,0,3,2,0
56,WfP,11,-801,Georgie,H,2,8,13/06/2019,19164,950,24.7,0,0,0.616666667,0,0,0,0,0,0
57,WfP,12,316,Georgie,H,1,6,17/06/2019,19168,930,25,0,0,0.616666667,0,0,0,0,0,0
58,MP,13,224,Georgie,H,2,4,18/05/2019,19138,856,26.5,4.2,0,0.513333333,4,0,0,0,4,0
59,MP,14,317,Georgie,G,1,3,19/04/2019,19109,847,26.7,0.8,0,0.413333333,1,0,0,0,1,0
60,MP,15,319,Georgie,G,1,12,05/05/2019,19125,829,27.9,14.2,0.8,0.5625,14,1,8,0,6,1
61,MP,16,429,Georgie,E,2,8,24/05/2019,19144,940,26,5,4.2,0.513333333,5,4,0,0,5,4
62,MP,17,423,Nemena,D,2,4,19/04/2019,19109,648,19.7,0,31.7,0.413333333,0,32,0,32,0,0
63,KP,19,-419,Georgie,H,2,11,17/05/2019,19137,935,27.6,6.6,0,0.6,7,0,6,0,1,0
64,KP,20,-900,Georgie,D,1,16,23/05/2019,19143,945,27.8,1.7,0,0.6,2,0,0,0,2,0
65,KP,21,-901,Georgie,D,1,11,02/05/2019,19122,1455,29.2,0,0,0.583333333,0,0,0,0,0,0
66,KP,23,508,Georgie,E,2,12,04/06/2019,19155,935,28.3,55.8,0,0.476190476,56,0,56,0,0,0
67,KP,24,-734,Georgie,H,2,24,08/06/2019,19159,852,25.6,36.6,0,0.476190476,37,0,37,0,0,0
