Bird no. ,Species,Family ,Code ,Sex,Observer ,Observation no. ,Site ,BroodSize,BroodAge ,Date ,Julian ,StartTime ,AmbientTemp ,BroodAttendance ,BroodDefense ,Alert ,Self-maintanence ,Other ,Away
1,Wfp,-900,L.L/M.L ,M ,Georgie ,1,H,2,9,10/05/2019,19130,15:40,27.6,0,0,0,38.3,42.5,19.2
2,Wfp,-900,x.x/x.x,F ,Georgie ,1,H,2,9,10/05/2019,19130,15:40,27.6,30,1.7,0,11.7,56.7,0
3,Wfp,-201,B.M/G.O ,M ,Georgie ,1,D,2,23,26/05/2019,19146,09:44,27.4,0,0,3.3,17.5,79.2,0
4,Wfp,-201,B.O/M.B,F ,Georgie ,1,D,2,23,26/05/2019,19116,09:44,27.4,0,1.7,14.2,0.8,83.3,0
5,Wfp,-204,B.O/B.O,M ,Georgie ,1,H,2,25,08/05/2019,19128,16:15,28,21.7,0,0,4.2,74.2,0
6,Wfp,-204,B.B/M.L ,F ,Georgie ,1,H,2,25,08/05/2019,19128,16:15,28,0,0.8,0,40.8,55.8,3.3
7,Wfp,313,x.x/x.x,M ,Georgie ,1,G,2,8,03/05/2019,19123,08:45,27.5,0,2.5,0,14.2,83.3,0
8,Wfp,313,Y.R/M.G ,F ,Georgie ,1,G,2,8,03/05/2019,19123,08:45,27.5,0,0,0,19.2,80.8,0
9,Wfp,-402,x.x/x.x,M ,Georgie ,1,D,1,18,20/04/2019,19110,17:11,28,0,0,0,10,60.8,29.2
10,Wfp,-402,O.L/M.B,F ,Georgie ,1,D,1,18,20/04/2019,19110,17:11,28,0,0,0.8,10,89.2,0
11,Wfp,403,R.Y/M.O,M ,Georgie ,1,B ,2,5,20/04/2019,19110,08:27,25.9,0,0,8.3,0,91.7,0
12,Wfp,403,x.x/x.x,F ,Georgie ,1,B ,2,5,20/04/2019,19110,08:27,25.9,0,0,7.5,0.8,91.7,0
13,Wfp,902,x.x/x.x,M ,Georgie ,1,H,2,1,15/05/2019,19135,15:54,27.2,20,2.5,0,1.7,75.8,0
14,Wfp,902,R.Y/Y.M ,F ,Georgie ,1,H,2,1,15/05/2019,19135,15:54,27.2,24.2,0,1.7,4.2,70,0
15,Wfp,309,L.R/M.Y,M ,Nemena ,1,F,3,20,15/05/2019,19135,07:15,18.1,0,0,0,0.8,20,79.2
16,Wfp,309,M.G/B.W,F ,Nemena ,1,F,3,20,15/05/2019,19135,07:15,18.1,0,0,0.8,32.5,66.8,0
17,Wfp,310,W.B/M.L,M ,Nemena ,1,F,2,2,26/04/2019,19116,11:18,30.1,0,6.7,1.7,1.7,40,50
18,Wfp,310,G.W/M.X,F ,Nemena ,1,F,2,2,26/04/2019,19116,11:18,30.1,0,3.3,1.7,7.5,79.1,8.3
19,Wfp,-301,X.X/X.X,M ,Nemena ,1,F,1,14,29/04/2019,19119,10:10,29.2,0,0,13.3,0,87.7,0
20,Wfp,-301,R.B/M.G,F ,Nemena ,1,F,1,14,29/04/2019,19119,10:10,29.2,0,0,5.8,9.2,85,0
21,Wfp,801,O.L/M.Y,M ,Georgie ,1,E,2,2,07/06/2019,19158,16:05,24.9,0,0,0,31.7,68.3,0
22,Wfp,801,L.O/M.L ,F ,Georgie ,1,E,2,2,07/06/2019,19158,16:05,24.9,95.8,0,0,0,4.2,0
23,Wfp,316,B.R/M.W ,M ,Georgie ,1,F,1,2,14/06/2019,19165,09:50,24.9,0,4.2,0,50,45.8,0
24,Wfp,316,R.B/M.L ,F ,Georgie ,1,F,1,2,14/06/2019,19165,09:50,24.9,85.8,0,0,0,14.2,0
25,MP,224,L.G/Y.M ,M ,Georgie ,1,H,2,1,15/05/2019,19135,09:14,23.8,0,3.3,0,35,61.7,0
26,MP,224,Y.W/O.M ,F ,Georgie ,1,H,2,1,15/05/2019,19135,09:14,23.8,0,3.3,0,25,69.2,0
27,MP,317,R.L/W.M ,M ,Georgie ,1,G,1,1,17/04/2019,19107,07:50,26.5,0,1.7,0,5,93.3,0
28,MP,317,B.R/M.W ,F ,Georgie ,1,G,1,1,17/04/2019,19107,07:50,26.5,0,0.8,0,1.7,97.5,0
29,MP,319,B.L/M.O ,M ,Georgie ,1,G,1,10,02/05/2019,19122,16:32,28.2,21.7,0.8,0,5,72.5,0
30,MP,319,L.G/B.M ,F ,Georgie ,1,G,1,10,02/05/2019,19122,16:32,28.2,0,0.8,0,10.8,49.2,39.2
31,MP,429,R.Y/M.R ,M ,Georgie ,1,E,2,4,20/05/2019,19140,08:58,25.3,24.2,0,0,31.7,44.2,0
32,MP,429,W.L/M.W ,F ,Georgie ,1,E,2,4,20/05/2019,19140,08:58,25.3,0,0,0,13.3,78.3,8.3
33,MP,423,G.B/M.W,M ,Nemena ,1,D,2,2,17/04/2019,19107,10:08,27.6,0,0,3.3,5.8,76.7,14.2
34,MP,423,B.B/L.M,F ,Nemena ,1,D,2,2,17/04/2019,19107,10:08,27.6,0,0.8,7.5,3.3,78.3,0
35,MP,101,L.X/M.X,M ,Nemena ,1,E,2,17,12/03/2019,19071,10:30,33.9,0,0,9.2,7.5,83.3,0
36,MP,101,B.Y/M.W,F ,Nemena ,1,E,2,17,12/03/2019,19071,10:30,33.9,0,0,20.8,1.7,77.5,0
37,KiP ,-419,B.W/L.M ,M ,Georgie ,1,H,2,9,15/05/2019,19105,07:58,21.5,5.8,0.8,3.3,15,75,0
38,KiP ,-419,unknown,F ,Georgie ,1,H,2,9,15/05/2019,19105,07:58,21.5,0,0,0,0,0,100
39,KiP ,-900,G.M/Y.B ,M ,Georgie ,1,D,1,10,17/05/2019,19137,15:35,27.5,0,1.7,4.2,24.2,70,0
40,KiP ,-900,unknown,F ,Georgie ,1,D,1,10,17/05/2019,19137,15:35,27.5,0,0,0,0,0,100
41,KiP ,-901,unknown,M ,Georgie ,1,D,1,9,30/04/2019,19120,16:35,26.3,0,0,0,0,0,100
42,KiP ,-901,G.L/M.Y ,F ,Georgie ,1,D,1,9,30/04/2019,19120,16:35,26.3,0,3.3,9.2,16.7,78.2,0
43,KiP ,415,O.W/M.W,M ,Nemena ,1,C,1,5,15/04/2019,19105,10:20,28.1,0,0,0,19.2,73.3,7.5
44,KiP ,415,unknown,F ,Nemena ,1,C,1,5,15/04/2019,19105,10:20,28.1,0,0,0,0,0,100
45,KiP ,508,L.B/x.B ,M ,Georgie ,1,E,2,8,31/05/2019,19151,09:35,24.2,9.2,0,3.3,34.2,56.7,0
46,KiP ,508,R.M/L.B ,F ,Georgie ,1,E,2,8,31/05/2019,19151,09:35,24.2,0,0,0,0,0,100
47,KiP ,-734,G.M/Y.R,M ,Georgie ,1,H,2,19,03/06/2019,19154,08:55,25.7,15.8,0,8.3,16.7,59.2,0
48,KiP ,-734,unknown,F ,Georgie ,1,H,2,19,03/06/2019,19154,08:55,25.7,0,0,0,0,0,100
1,Wfp,-900,L.L/M.L ,M ,Georgie ,2,H,2,12,13/05/2019,19133,08:40,24.7,0,0,0,25,63.3,11.7
2,Wfp,-900,x.x/x.x,F ,Georgie ,2,H,2,12,13/05/2019,19133,08:40,24.7,10,0,0,2.5,87.5,0
3,Wfp,-201,B.M/G.O ,M ,Georgie ,2,D,2,24,27/04/2019,19117,07:03,24.3,0,0,0,26.7,57.5,15.8
4,Wfp,-201,B.O/M.B,F ,Georgie ,2,D,2,24,27/04/2019,19117,07:03,24.3,22.5,0,7.5,5.8,64.2,0
5,Wfp,-204,B.O/B.O,M ,Georgie ,2,H,2,26,09/05/2019,19129,15:43,28.7,6.7,4.2,0,18.3,70.8,0
6,Wfp,-204,B.B/M.L ,F ,Georgie ,2,H,2,26,09/05/2019,19129,15:43,28.7,0,5,0,33.3,61.7,0
7,Wfp,313,x.x/x.x,M ,Georgie ,2,G,2,9,04/05/2019,19124,09:00,29,0,0,0,17.5,82.5,0
8,Wfp,313,Y.R/M.G ,F ,Georgie ,2,G,2,9,04/05/2019,19124,09:00,29,0,5,0,10.8,84.2,0
9,Wfp,-402,x.x/x.x,M ,Georgie ,2,D,1,24,26/04/2019,19116,08:03,25.7,0,0,1.8,8.3,84.9,5
10,Wfp,-402,O.L/M.B,F ,Georgie ,2,D,1,24,26/04/2019,19116,08:03,25.7,0,1.7,23.3,2.5,72.5,0
11,Wfp,403,R.Y/M.O,M ,Georgie ,2,B ,2,8,23/04/2019,19113,11:04,28.9,0,7.5,10.8,4.2,77.5,0
12,Wfp,403,x.x/x.x,F ,Georgie ,2,B ,2,8,23/04/2019,19113,11:04,28.9,0,2.5,0,7.5,90,0
13,Wfp,902,x.x/x.x,M ,Georgie ,2,H,2,2,16/05/2019,19136,14:45,27.8,0,0,0,21.7,40,38.3
14,Wfp,902,R.Y/Y.M ,F ,Georgie ,2,H,2,2,16/05/2019,19136,14:45,27.8,0,2.5,0,1.7,95.8,0
15,Wfp,309,L.R/M.Y,M ,Nemena ,2,F,3,21,16/05/2019,19136,15:14,27.8,0,0,0,2.5,55,42.5
16,Wfp,309,M.G/B.W,F ,Nemena ,2,F,3,21,16/05/2019,19136,15:14,27.8,5,0,7.5,3.3,65.8,19.2
17,Wfp,310,W.B/M.L,M ,Nemena ,2,F,2,3,27/04/2019,19117,08:13,26.5,0,3.3,0.8,2.5,29.2,64.2
18,Wfp,310,G.W/M.X,F ,Nemena ,2,F,2,3,27/04/2019,19117,08:13,26.5,0,2.5,2.5,8.3,72.5,9.2
21,Wfp,801,O.L/M.Y,M ,Georgie ,2,E,2,5,10/06/2019,19161,16:17,30.2,0,0,0,57.5,42.5,0
22,Wfp,801,L.O/M.L ,F ,Georgie ,2,E,2,5,10/06/2019,19161,16:17,30.2,50,2.5,0,3.3,44.2,0
23,Wfp,316,B.R/M.W ,M ,Georgie ,2,F,1,3,15/06/2019,19166,09:50,26,0,3.3,0,44.2,52.5,0
24,Wfp,316,R.B/M.L ,F ,Georgie ,2,F,1,3,15/06/2019,19166,09:50,26,0,0.8,2.5,0,96.7,0
25,MP,224,L.G/Y.M ,M ,Georgie ,2,H,2,2,16/05/2019,19136,06:55,18.5,15.8,4.2,0,24.2,47.5,0
26,MP,224,Y.W/O.M ,F ,Georgie ,2,H,2,2,16/05/2019,19136,06:55,18.5,31.7,0.8,0,13.3,48.5,0
27,MP,317,R.L/W.M ,M ,Georgie ,2,G,1,2,18/04/2019,19108,15:25,27.1,0,0.8,8.3,4.2,95,0
28,MP,317,B.R/M.W ,F ,Georgie ,2,G,1,2,18/04/2019,19108,15:25,27.1,0,0,6.7,5,95,0
29,MP,319,B.L/M.O ,M ,Georgie ,2,G,1,11,03/05/2019,19123,08:45,27.5,0,5.8,4.2,7.5,82.5,0
30,MP,319,L.G/B.M ,F ,Georgie ,2,G,1,11,03/05/2019,19123,08:45,27.5,0,5.8,0,20.8,70,3.3
31,MP,429,R.Y/M.R ,M ,Georgie ,2,E,2,5,21/05/2019,19141,10:58,27.9,0,0,2.5,20,77.5,0
32,MP,429,W.L/M.W ,F ,Georgie ,2,E,2,5,21/05/2019,19141,10:58,27.9,0,0,0.8,31.7,67.5,0
33,MP,423,G.B/M.W,M ,Nemena ,2,D,2,3,18/04/2019,19108,08:37,26.5,0,0.8,0,12.5,86.7,0
34,MP,423,B.B/L.M,F ,Nemena ,2,D,2,3,18/04/2019,19108,08:37,26.5,0,0,3.3,8.3,88.4,0
35,MP,101,L.X/M.X,M ,Nemena ,2,E,2,18,13/03/2019,19072,15:05,31.6,0,0,11.7,2.5,47.5,38.3
36,MP,101,B.Y/M.W,F ,Nemena ,2,E,2,18,13/03/2019,19072,15:05,31.6,3.3,0,35,1.7,60,0
37,KiP ,-419,B.W/L.M ,M ,Georgie ,2,H,2,21,16/05/2019,19136,09:48,27.6,0,0,0,10.8,89.2,0
38,KiP ,-419,unknown,F ,Georgie ,2,H,2,21,16/05/2019,19136,09:48,27.6,0,0,0,0,0,100
39,KiP ,-900,G.M/Y.B ,M ,Georgie ,2,D,1,15,22/05/2019,19142,15:35,26.2,6.7,0,0,9.2,84.2,0
40,KiP ,-900,unknown,F ,Georgie ,2,D,1,15,22/05/2019,19142,15:35,26.2,0,0,0,0,0,100
41,KiP ,-901,unknown,M ,Georgie ,2,D,1,10,01/05/2019,19121,15:35,28.6,0,0,0,0,0,100
42,KiP ,-901,G.L/M.Y ,F ,Georgie ,2,D,1,10,01/05/2019,19121,15:35,28.6,0,3.3,18.3,10.8,67.5,0
45,KiP ,508,L.B/x.B ,M ,Georgie ,2,E,2,9,01/06/2019,19152,08:36,21.7,0,0,3.3,37.5,59.2,0
46,KiP ,508,R.M/L.B ,F ,Georgie ,2,E,2,9,01/06/2019,19152,08:36,21.7,0,0,0,0,0,100
47,KiP ,-734,G.M/Y.R,M ,Georgie ,2,H,2,21,05/06/2019,19156,07:28,17.1,36.7,0,1.7,5.8,55.8,0
48,KiP ,-734,unknown,F ,Georgie ,2,H,2,21,05/06/2019,19156,07:28,17.1,0,0,0,0,0,100
1,Wfp,-900,L.L/M.L ,M ,Georgie ,3,H,2,13,14/05/2019,19134,15:40,27.3,0,0,0.8,27.5,71.7,0
2,Wfp,-900,x.x/x.x,F ,Georgie ,3,H,2,13,14/05/2019,19134,15:40,27.3,0,0,0,5,95,0
3,Wfp,-201,B.M/G.O ,M ,Georgie ,3,D,2,26,29/04/2019,19119,08:33,26,0,1.7,1.7,35.8,61.6,0
4,Wfp,-201,B.O/M.B,F ,Georgie ,3,D,2,26,29/04/2019,19119,08:33,26,0,0.8,10,10,79.2,0
5,Wfp,-204,B.O/B.O,M ,Georgie ,3,H,2,27,10/05/2019,19130,15:43,27.3,71.7,0,0,3.3,25,0
6,Wfp,-204,B.B/M.L ,F ,Georgie ,3,H,2,27,10/05/2019,19130,15:43,27.3,0,0,0,30.8,57.5,11.7
7,Wfp,313,x.x/x.x,M ,Georgie ,3,G,2,10,06/05/2019,19126,14:10,29.1,0,1.7,0,15,83.3,0
8,Wfp,313,Y.R/M.G ,F ,Georgie ,3,G,2,10,06/05/2019,19126,14:10,29.1,0,0,0,20,64.2,15.8
9,Wfp,-402,x.x/x.x,M ,Georgie ,3,D,1,25,27/04/2019,19117,08:29,26.5,0,0,0,0.8,84.2,15
10,Wfp,-402,O.L/M.B,F ,Georgie ,3,D,1,25,27/04/2019,19117,08:29,26.5,0,1.7,4.2,12.5,81.6,0
11,Wfp,403,R.Y/M.O,M ,Georgie ,3,B ,2,15,30/04/2019,19120,09:25,27.4,4.2,0,10,1.7,84.2,0
12,Wfp,403,x.x/x.x,F ,Georgie ,3,B ,2,15,30/04/2019,19120,09:25,27.4,0,0,0.8,15.8,83.4,0
13,Wfp,902,x.x/x.x,M ,Georgie ,3,H,2,3,17/05/2019,19137,07:45,20.3,0,0,0,20.8,72.5,6.7
14,Wfp,902,R.Y/Y.M ,F ,Georgie ,3,H,2,3,17/05/2019,19137,07:45,20.3,39.2,0,0,5,55.8,0
15,Wfp,309,L.R/M.Y,M ,Nemena ,3,F,3,22,17/05/2019,19137,10:02,27.6,0,0,2.5,12,105.5,0
16,Wfp,309,M.G/B.W,F ,Nemena ,3,F,3,22,17/05/2019,19137,10:02,27.6,0,0,1.8,5.8,55.7,36.7
17,Wfp,310,W.B/M.L,M ,Nemena ,3,F,2,21,15/05/2019,19135,09:39,25.4,0,1.7,0,15,58.3,25
18,Wfp,310,G.W/M.X,F ,Nemena ,3,F,2,21,15/05/2019,19135,09:39,25.4,3.3,0,0.8,5,85.8,5
21,Wfp,801,O.L/M.Y,M ,Georgie ,3,E,2,8,13/06/2019,19164,09:50,24.7,0,0,0,29.2,70.8,0
22,Wfp,801,L.O/M.L ,F ,Georgie ,3,E,2,8,13/06/2019,19164,09:50,24.7,0,0,0,13.3,86.7,0
23,Wfp,316,B.R/M.W ,M ,Georgie ,3,F,1,6,17/06/2019,19168,09:30,25,0,0,0,9.2,79.2,11.7
24,Wfp,316,R.B/M.L ,F ,Georgie ,3,F,1,6,17/06/2019,19168,09:30,25,0,0,1.7,1.7,96.6,0
25,MP,224,L.G/Y.M ,M ,Georgie ,3,H,2,4,18/05/2019,19138,08:56,26.5,0,4.2,0,13.3,82.5,0
26,MP,224,Y.W/O.M ,F ,Georgie ,3,H,2,4,18/05/2019,19138,08:56,26.5,0,0,0,11.7,85.8,0
27,MP,317,R.L/W.M ,M ,Georgie ,3,G,1,3,19/04/2019,19109,08:47,26.7,0,0.8,2.5,10,86.7,0
28,MP,317,B.R/M.W ,F ,Georgie ,3,G,1,3,19/04/2019,19109,08:47,26.7,0,0,0,6.7,93.3,0
29,MP,319,B.L/M.O ,M ,Georgie ,3,G,1,12,05/05/2019,19125,08:29,27.9,7.5,6.7,3.3,15,75,0
30,MP,319,L.G/B.M ,F ,Georgie ,3,G,1,12,05/05/2019,19125,08:29,27.9,0,0.8,2.5,15,66.7,15
31,MP,429,R.Y/M.R ,M ,Georgie ,3,E,2,8,24/05/2019,19144,09:40,26,0,5,0,15,80,0
32,MP,429,W.L/M.W ,F ,Georgie ,3,E,2,8,24/05/2019,19144,09:40,26,0,4.2,0,36.7,43.3,15.8
33,MP,423,G.B/M.W,M ,Nemena ,3,D,2,4,19/04/2019,19109,06:48,19.7,0,0,0.8,1.7,97.5,0
34,MP,423,B.B/L.M,F ,Nemena ,3,D,2,4,19/04/2019,19109,06:48,19.7,31.7,0,0,11.7,56.7,0
37,KiP ,-419,B.W/L.M ,M ,Georgie ,3,H,2,11,17/05/2019,19137,09:35,27.6,5.8,0.8,3.3,15,75,0
38,KiP ,-419,unknown,F ,Georgie ,3,H,2,11,17/05/2019,19137,09:35,27.6,0,0,0,0,0,100
39,KiP ,-900,G.M/Y.B ,M ,Georgie ,3,D,1,16,23/05/2019,19143,09:45,27.8,0,1.7,4.2,24.2,74.2,0
40,KiP ,-900,unknown,F ,Georgie ,3,D,1,16,23/05/2019,19143,09:45,27.8,0,0,0,0,0,100
41,KiP ,-901,unknown,M ,Georgie ,3,D,1,11,02/05/2019,19122,14:55,29.2,0,0,0,0,0,100
42,KiP ,-901,G.L/M.Y ,F ,Georgie ,3,D,1,11,02/05/2019,19122,14:55,29.2,0,0,0,20,80,0
45,KiP ,508,L.B/x.B ,M ,Georgie ,3,E,2,12,04/06/2019,19155,09:35,28.3,55.8,0,0,5,39.2,0
46,KiP ,508,R.M/L.B ,F ,Georgie ,3,E,2,12,04/06/2019,19155,09:35,28.3,0,0,0,0,0,100
47,KiP ,-734,G.M/Y.R,M ,Georgie ,3,H,2,24,08/06/2019,19159,08:52,25.6,36.7,0,0,40,23.3,0
48,KiP ,-734,unknown,F ,Georgie ,3,H,2,24,08/06/2019,19159,08:52,25.6,0,0,0,0,0,100
